الاسم,المدينة,المنطقة,الحي,الشارع,صندوق البريد,الرمز الريدي,الجوال,البريد الالكتروني
روزصامطه,صامطة,جازان,صامطه,السوق الداخلي,34,,017-3322639,RoseSamtah@hotmail.com
الحزم للوحدات السكنية المفروشة,الرياض,الرياض,العليا,الحر بن قيس,42,,011-2175701,hazmco@hotmail.com
فندق الجزيره فرع شركة مجموعه مرعي بن محفوظ وشركاه مساهمة مقفلة,العاصمة المقدسة,مكة المكرمة,الحجون,شارع المسجد الحرام,8888,1139,+966125730202,jazeerah@mbmgroup.org
فندق الراية المتميز الفندقية,جازان,جازان,النسيم,طريق الملك عبدالعزيز,6380,5415,+966173203001,dir.manager@salbassami.com.sa
فندق سنود العظمة الفندقية,العاصمة المقدسة,مكة المكرمة,بطحاء قريش,العام,7414,5394,+9661255588855,lad@snoodhotels.com
مواسم اغادير,أبها,عسير,وسط البلد,العام,1,,017-2298344,M.FGEER@HOTMAIL.COM
شقق برج الربيع للشقق المفروشة,الجبيل,الشرقية,الدانه,شارع المدينة المنورة,4524,940,+966133611952,meshal.alshamrani@gmail.com
شقق قمة البرج الذهبي للشقق المفروشة,القريات,الجوف,الحميدية,عمر بن الخطاب,6199,216,+9666411119,HMDAAN1439@GMAIL.COM
تالة الصحافة,جدة,مكة المكرمة,المشرفه,الصحافه,349,,012-6421694,Muense3@gmail.com
شقق غادين للوحدات السكنية,احد رفيده,عسير,حي الخليج,الواديين,3098,1035,+966172750000,gadeen2013@gmail.com
شركة هوستا الفندقية,الرياض,الرياض,الياسمين,الامير ناصر بن فرحان ال سعود,2874,7284,+966553231314,altayyar@darhashim.com
فندق الميرة الهجرة للخدمات الفندقية,العاصمة المقدسة,مكة المكرمة,حي المسفلة,الهجرة,8373,24233,+966125351323,admingov@awangrp.com
فندق لؤلؤة الشرق,العاصمة المقدسة,مكة المكرمة,حي اجياد,طريق المسجد الحرام,6702,1418,+966125420312,yahya21@alfouadgc.com
مؤسسة عبدالله يحي محمد طيري الفندقية,صبيا,جازان,النهضة,شارع الأمیر ماجد بن عبدالعزيز,2755,778,+966173280770,abdullahtiri@gmail.com
الدانة الخليجية للوحدات السكنية المفروشة,جسر الملك فهد,الشرقية,العليا,الفضل بن اسماعيل,0,,013-8985820,aldana.alkhaleejah@gmail.com
فندق فرج المدينة الفندقية,المدينة المنورة,المدينة المنورة,حي مسجد الدرع,طريق عثمان بن عفان,8445,0,+966148699911,farajhotel@gmail.com
شركة حور بارك الفندقية (شركة شخص واحد),جدة,مكة المكرمة,حي الحمراء,جزر القمر,6833,6833,+966122755505,gm@hoorpark.com
فندق الوافدين الفندقية,العاصمة المقدسة,مكة المكرمة,حي جرهم الجنوبية,طريق ابراهيم الخليل,8820,3306,+966555511739,alwafideen@gmail.com
شقق منازل البلد للوحدات السكنية المفروشة,خميس مشيط,عسير,السلام,بلال,0,1534,+966172221221,azaz42464246@gmil.com
تالين,الرياض,الرياض,النخيل,طريق الأمام سعود بن عبد العزيز بن محمد,155,,011-2664000,sa-taleen@hotmail.com
قصرمنازل الدوحه,نجران,نجران,الضيافه,شيبه بن عثمان,52,,017-5424242,ZAII2011@YAHOO.COM
شقق لؤلؤة جازان للوحدات السكنية,جازان,جازان,حي الشاطئ,شارع 2  هـــ,6810,82812,+96660173310555,fuadd111@gmail.com
فندق لؤلؤة الأصيل,العاصمة المقدسة,مكة المكرمة,العزيزية,محبس الجن,0,,014-5580926,omarjaad@hotmail.com
اضواء رمادا اثنين,صامطة,جازان,الجراديه,الشارع العام,23658,,017-0000000,alsallum_001@outlook.com
شقق المدار بارك للشقق المخدومة,الرياض,الرياض,حي اشبيلية,القبة,7438,128,+966112783030,elsalam3030@gmail.com
فندق جوهرة المنشية,العاصمة المقدسة,مكة المكرمة,حي الهجلة,المسيال,6221,24231,+966505643302,Habeebm2001@yahoo.com
همس ابها,أبها,عسير,المنسك,ابو بكر,1,,017-2310444,zx2230233@gmail.com
شقق نيلوفر الرائد للشقق المخدومة,جدة,مكة المكرمة,حي الفضيلة,الشارع العام,2055,87804,+966505468669,kareem_moh@hotmail.com
سحاب لبن للوحدات السكنيه المفروشه,الرياض,الرياض,حي لبن,شارع الناصرية,6842,1049,+966112352221,fn105378@gmail.com
